model,mae,rmse,r2
xgboost,0.16079808734163514,0.23037984338050924,0.8392297326888887
catboost,0.17190181304561927,0.2399576204021104,0.8255841818582949
mlp_neural_network,0.18963331210647763,0.26253059165591636,0.7912259043572718
decision_tree,0.2606230501022065,0.3418682563132394,0.6459746749332205
linear_regression,0.2636574182858163,0.3446655629115108,0.6401574108185842
