iter	RMSE
127	0.26539262
128	0.2650439329
129	0.2648965294
130	0.2647893152
131	0.2643843518
132	0.2640560004
133	0.2637654383
134	0.2635508441
135	0.2632686328
136	0.2629468864
137	0.2627073419
138	0.2624000277
139	0.2622780781
140	0.2621371403
141	0.2619270704
142	0.2615697819
143	0.2611927398
144	0.2609318673
145	0.2606318129
146	0.260219843
147	0.2599799519
148	0.2598136204
149	0.2596383411
150	0.2594089785
151	0.2592331989
152	0.2589945191
153	0.258777735
154	0.2586446346
155	0.2584346269
156	0.2582072318
157	0.2580069424
158	0.2576591893
159	0.2574062048
160	0.2572722326
161	0.2569809774
162	0.256850119
163	0.2567163144
164	0.2564431101
165	0.2563135153
166	0.2561065408
167	0.255895904
168	0.2557117783
169	0.2556220683
170	0.2553943872
171	0.2551767076
172	0.2550754371
173	0.254985235
174	0.2548843726
175	0.25472394
176	0.254556557
177	0.2542302353
178	0.2541347612
179	0.2538573874
180	0.2537209038
181	0.2536490843
182	0.2535174031
183	0.253320528
184	0.2530317456
185	0.252774115
186	0.2526046963
187	0.2524163029
188	0.2522054639
189	0.2520021665
190	0.2518864608
191	0.251708301
192	0.2515588212
193	0.2514606049
194	0.251300381
195	0.2511362992
196	0.2509656214
197	0.2507921697
198	0.2505838118
199	0.2504752629
200	0.2503439911
201	0.2502337104
202	0.2500744975
203	0.2499702151
204	0.2498488772
205	0.249580962
206	0.2493324742
207	0.2492151519
208	0.2490184834
209	0.2488894585
210	0.2486439322
211	0.2484039144
212	0.2483250189
213	0.2482437224
214	0.2480504181
215	0.2479424161
216	0.2477924738
217	0.2475883442
218	0.247406164
219	0.2472622096
220	0.2471951935
221	0.2470740916
222	0.2468514655
223	0.2467036919
224	0.2465307701
225	0.2464123378
226	0.2463132266
227	0.2461139566
228	0.2459197711
229	0.245756926
230	0.2455389992
231	0.2454383075
232	0.2452896102
233	0.2450691838
234	0.2448586428
235	0.2447358245
236	0.2445852255
237	0.2444764029
238	0.2443294899
239	0.2442478946
240	0.2439428636
241	0.2438341308
242	0.2437750454
243	0.2436575087
244	0.2435431897
245	0.2434259931
246	0.2432533795
247	0.2430443231
248	0.242957594
249	0.2428523456
250	0.2425941803
251	0.2423967502
252	0.2422653198
253	0.2420619704
254	0.2420094604
255	0.2418064957
256	0.2416108185
257	0.2414159381
258	0.2412468303
259	0.2409853297
260	0.2409042102
261	0.2408352868
262	0.2406817689
263	0.2406306069
264	0.2404533208
265	0.2403418574
266	0.2401202468
267	0.2399383745
268	0.2398418952
269	0.2396423259
270	0.2394557812
271	0.2393677463
272	0.2392724009
273	0.2392253182
274	0.238993322
275	0.2389057354
276	0.2388245685
277	0.2386627526
278	0.2385278754
279	0.2383998867
280	0.2382039576
281	0.2380127174
282	0.2379322217
283	0.2378287706
284	0.2376601841
285	0.2375493216
286	0.2374112211
287	0.2372954233
288	0.2372151721
289	0.2370763683
290	0.2369379554
291	0.2368364643
292	0.2367456109
293	0.2366263074
294	0.2365482726
295	0.2364662065
296	0.2363957667
297	0.2362442203
298	0.2362009935
299	0.23604747
300	0.2358782721
301	0.2357471354
302	0.2356354443
303	0.2355442347
304	0.2354711734
305	0.2353209044
306	0.2352041367
307	0.2351207241
308	0.2350649318
309	0.234919318
310	0.2347998521
311	0.2346407559
312	0.2345167702
313	0.2344258038
314	0.2343278598
315	0.2341868355
316	0.2340960676
317	0.2339755752
318	0.2338984518
319	0.2337702171
320	0.2336687912
321	0.2335293569
322	0.2334162335
323	0.2332873284
324	0.2331700203
325	0.2331035632
326	0.2329631638
327	0.2329016314
328	0.2328500302
329	0.232734363
330	0.232655442
331	0.2325868095
332	0.2324832944
333	0.2323766661
334	0.2322552528
335	0.2322111811
336	0.2321506138
337	0.2320066929
338	0.2319205069
339	0.2318195814
340	0.2317081926
341	0.2316200068
342	0.2315405764
343	0.231437887
344	0.2313643523
345	0.2312742038
346	0.2311718449
347	0.2310388064
348	0.2309295355
349	0.2308003807
350	0.2307312681
351	0.2306372108
352	0.2305231864
353	0.2304009302
354	0.2302979161
355	0.2302459134
356	0.2301855202
357	0.2301280864
358	0.2300156952
359	0.2299353025
360	0.2298577603
361	0.2297620502
362	0.2296659422
363	0.2295494957
364	0.229415773
365	0.2293281193
366	0.2291945907
367	0.2291205254
368	0.2290656829
369	0.2289684359
370	0.2289083863
371	0.2288086496
372	0.2287094835
373	0.2286238606
374	0.2285920729
375	0.2285096562
376	0.2284460643
377	0.2283585733
378	0.2282670857
379	0.2281320756
380	0.228009643
381	0.227849559
382	0.2277335325
383	0.2276448363
384	0.2275373716
385	0.2274754347
386	0.2273889676
387	0.2273388799
388	0.2272522385
389	0.2271976847
390	0.2271056695
391	0.2269604451
392	0.2269056647
393	0.2268683883
394	0.2267723332
395	0.2266986674
396	0.2266386719
397	0.2265950315
398	0.2265348099
399	0.2264338783
400	0.2263797491
401	0.2263227148
402	0.2262793012
403	0.2262068415
404	0.2261064381
405	0.2260515366
406	0.2260098794
407	0.2259048361
408	0.2258445268
409	0.2257507586
410	0.2256602714
411	0.2256152216
412	0.2255522033
413	0.225446546
414	0.2253697831
415	0.2252610968
416	0.2251904167
417	0.2251236483
418	0.2250540588
419	0.2249008477
420	0.2248347341
421	0.2248025887
422	0.2246632726
423	0.2245514231
424	0.2244517027
425	0.2243776115
426	0.2242936449
427	0.2242031873
428	0.2241085904
429	0.2240222942
430	0.2239833498
431	0.2238893842
432	0.2238510308
433	0.2237560128
434	0.2237174837
435	0.2236126722
436	0.223488148
437	0.2234446053
438	0.2233063103
439	0.2232571325
440	0.2231632121
441	0.2230875915
442	0.2230322441
443	0.2229526334
444	0.2228942155
445	0.2228117282
446	0.222766952
447	0.2227315503
448	0.2226284891
449	0.2225500333
450	0.2224946672
451	0.2224097875
452	0.2223027867
453	0.222250853
454	0.2221657193
455	0.2220944824
456	0.2220075186
457	0.2219287705
458	0.2218534967
459	0.2217667751
460	0.2217023173
461	0.2216413712
462	0.2216026309
463	0.221528332
464	0.2213931427
465	0.2212704901
466	0.2212196356
467	0.2211711131
468	0.2211103391
469	0.2210390091
470	0.220978058
471	0.2209058322
472	0.2208645773
473	0.2207540319
474	0.2206915275
475	0.2206335818
476	0.2205618797
477	0.2205194935
478	0.2204577211
479	0.2203788669
480	0.2203158141
481	0.2202522235
482	0.2202044328
483	0.2201689893
484	0.220134112
485	0.2200241883
486	0.2199651216
487	0.2198855123
488	0.2198282075
489	0.2197821989
490	0.2197226159
491	0.2196476243
492	0.2195450584
493	0.2194663138
494	0.2194205272
495	0.2193709354
496	0.2193203848
497	0.2192559913
498	0.2191817783
499	0.2191423618
